Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Michigan,4/26/21,"148,590","148,590"
Minnesota,4/26/21,"81,900","81,900"
Ohio,4/26/21,"173,160","173,160"
Wisconsin,4/26/21,"86,580","86,580"
Arkansas,4/26/21,"44,460","44,460"
Louisiana,4/26/21,"69,030","69,030"
New Mexico,4/26/21,"31,590","31,590"
Oklahoma,4/26/21,"57,330","57,330"
Texas,4/26/21,"394,290","394,290"
Iowa,4/26/21,"46,800","46,800"
Kansas,4/26/21,"42,120","42,120"
Missouri,4/26/21,"90,090","90,090"
Nebraska,4/26/21,"28,080","28,080"
Colorado,4/26/21,"81,900","81,900"
Montana,4/26/21,"16,380","16,380"
North Dakota,4/26/21,"11,700","11,700"
South Dakota,4/26/21,"12,870","12,870"
Utah,4/26/21,"40,950","40,950"
Wyoming,4/26/21,"9,360","9,360"
Arizona,4/26/21,"102,960","102,960"
California,4/26/21,"575,640","575,640"
Hawaii,4/26/21,"22,230","22,230"
Nevada,4/26/21,"43,290","43,290"
American Samoa,4/26/21,0,0
Guam,4/26/21,0,0
Marshall Islands,4/26/21,0,0
Micronesia,4/26/21,0,0
Mariana Islands,4/26/21,0,0
Palau,4/26/21,0,0
Alaska,4/26/21,0,0
Idaho,4/26/21,"24,570","24,570"
Oregon,4/26/21,"62,010","62,010"
Washington,4/26/21,"109,980","109,980"
Federal Entities,4/26/21,"218,790","218,790"
Connecticut,4/19/21,"54,990","54,990"
Maine,4/19/21,"21,060","21,060"
Massachusetts,4/19/21,"105,300","105,300"
New Hampshire,4/19/21,"21,060","21,060"
Rhode Island,4/19/21,"16,380","16,380"
Vermont,4/19/21,"10,530","10,530"
New Jersey,4/19/21,"132,210","132,210"
New York,4/19/21,"168,480","168,480"
New York City,4/19/21,"128,700","128,700"
Puerto Rico,4/19/21,"52,650","52,650"
U.S. Virgin Islands,4/19/21,"2,340","2,340"
Delaware,4/19/21,"15,210","15,210"
District of Columbia,4/19/21,"11,700","11,700"
Maryland,4/19/21,"90,090","90,090"
Pennsylvania,4/19/21,"170,820","170,820"
Philadelphia,4/19/21,"24,570","24,570"
Virginia,4/19/21,"126,360","126,360"
West Virginia,4/19/21,"28,080","28,080"
Alabama,4/19/21,"72,540","72,540"
Florida,4/19/21,"314,730","314,730"
Georgia,4/19/21,"149,760","149,760"
Kentucky,4/19/21,"66,690","66,690"
Mississippi,4/19/21,"44,460","44,460"
North Carolina,4/19/21,"150,930","150,930"
South Carolina,4/19/21,"74,880","74,880"
Tennessee,4/19/21,"99,450","99,450"
Chicago,4/19/21,"40,950","40,950"
Illinois,4/19/21,"149,760","149,760"
Indiana,4/19/21,"97,110","97,110"
Michigan,4/19/21,"148,590","148,590"
Minnesota,4/19/21,"81,900","81,900"
Ohio,4/19/21,"173,160","173,160"
Wisconsin,4/19/21,"86,580","86,580"
Arkansas,4/19/21,"44,460","44,460"
Louisiana,4/19/21,"69,030","69,030"
New Mexico,4/19/21,"31,590","31,590"
Oklahoma,4/19/21,"57,330","57,330"
Texas,4/19/21,"394,290","394,290"
Iowa,4/19/21,"46,800","46,800"
